訂票代碼,客戶證號,訂單狀態,乘車日期,訂票張數,起站,迄站
0091306,E170172454,網路付款未取票,2018/04/07,1,5050,4440
0091307,B201879683,網路付款未取票,2018/04/08,2,5050,1160
0091308,N204827958,網路付款未取票,2018/04/07,1,1020,7190
0091309,Z251665906,網路付款未取票,2018/04/07,1,1040,1000
0091310,M265427931,網路付款未取票,2018/04/07,1,5050,4440
0091311,E241844121,網路付款未取票,2018/04/07,1,5050,4120
0091312,K228090620,網路付款未取票,2018/04/09,3,1020,6050
0091313,Q157348637,網路付款未取票,2018/04/08,2,1040,6110
0091314,P133624835,網路付款未取票,2018/04/07,1,5050,4440
0091315,K206190747,網路付款未取票,2018/04/07,1,5050,4120
0091316,O192424518,網路付款未取票,2018/04/09,3,1020,6050
0091317,H167917344,網路付款未取票,2018/04/09,3,1040,6000
0091318,V220536342,網路付款未取票,2018/04/07,1,5050,4440
0091319,T108289644,網路付款未取票,2018/04/07,1,5050,4120
0091320,B210777987,網路付款未取票,2018/04/09,3,1020,6050
0091321,U179983670,網路付款未取票,2018/04/07,1,1040,1000
0091322,Q117951025,網路付款未取票,2018/04/09,3,5050,3390
0091323,Z299821873,網路付款未取票,2018/04/09,3,5050,7160
0091361,R162475964,網路付款未取票,2018/04/07,1,1040,1000
0091362,O218034445,網路付款未取票,2018/04/08,2,5050,4220
0091363,O199809019,網路付款未取票,2018/04/08,2,5050,1160
0091364,K197968208,網路付款未取票,2018/04/08,2,1020,6220
0091365,L206176970,網路付款未取票,2018/04/07,1,1040,1000
0091366,P253791759,網路付款未取票,2018/04/07,1,5050,4440
0091367,A261495960,網路付款未取票,2018/04/08,2,5050,1160
0091368,O171275499,網路付款未取票,2018/04/09,3,1020,6050
0091369,E214619096,網路付款未取票,2018/04/08,2,1040,6110
0091370,S167245850,網路付款未取票,2018/04/08,2,5050,4220
0091371,L189589097,網路付款未取票,2018/04/07,1,5050,4120
0091372,G204674845,網路付款未取票,2018/04/09,3,1020,6050
0091373,H260571486,網路付款未取票,2018/04/07,1,1040,1000
0091374,I232390387,網路付款未取票,2018/04/08,2,5050,4220
0091375,A276185051,網路付款未取票,2018/04/09,3,5050,7160
0091376,R142344280,網路付款未取票,2018/04/07,1,1020,7190
0091377,J246450016,網路付款未取票,2018/04/08,2,1040,6110
0091378,R246782304,網路付款未取票,2018/04/09,3,5050,3390
0091018,D131284496,網路付款未取票,2018/04/09,3,5050,3390
0091019,E170384132,網路付款未取票,2018/04/07,1,5050,4120
0091020,A118748681,網路付款未取票,2018/04/09,3,1020,6050
0091021,J102026298,網路付款未取票,2018/04/07,1,1040,1000
0091022,F297700124,網路付款未取票,2018/04/07,1,5050,4440
0091023,Q252564535,網路付款未取票,2018/04/09,3,5050,7160
0091024,L181898482,網路付款未取票,2018/04/09,3,1020,6050
0091025,U106083369,網路付款未取票,2018/04/09,3,1040,6000
0091026,L151712488,網路付款未取票,2018/04/07,1,5050,4440
0091027,C286384488,網路付款未取票,2018/04/07,1,5050,4120
0091028,N145046733,網路付款未取票,2018/04/07,1,1020,7190
0091029,S156166624,網路付款未取票,2018/04/08,2,1040,6110
0091030,U105455558,網路付款未取票,2018/04/08,2,5050,4220
0091031,V174453892,網路付款未取票,2018/04/08,2,5050,1160
0091032,U260317740,網路付款未取票,2018/04/09,3,1020,6050
0091033,A244756839,網路付款未取票,2018/04/07,1,1040,1000
0091034,E150843363,網路付款未取票,2018/04/07,1,5050,4440
0091035,D224531053,網路付款未取票,2018/04/08,2,5050,1160
0091324,J238987595,網路付款未取票,2018/04/07,1,1020,7190
0091379,U110497684,網路付款未取票,2018/04/09,3,5050,7160
0091380,I111019741,網路付款未取票,2018/04/09,3,1020,6050
0091381,O271692107,網路付款未取票,2018/04/09,3,1040,6000
0091382,E201763129,網路付款未取票,2018/04/08,2,5050,4220
0091383,O214660583,網路付款未取票,2018/04/07,1,5050,4120
0091384,Z286546807,網路付款未取票,2018/04/08,2,1020,6220
0091385,Q141310145,網路付款未取票,2018/04/09,3,1040,6000
0091386,R263785658,網路付款未取票,2018/04/09,3,5050,3390
0091387,I211559377,網路付款未取票,2018/04/08,2,5050,1160
0091388,M106270356,網路付款未取票,2018/04/09,3,1020,6050
0091389,H250525856,網路付款未取票,2018/04/08,2,1040,6110
0091390,J252863823,網路付款未取票,2018/04/07,1,5050,4440
0091391,B131458270,網路付款未取票,2018/04/08,2,5050,1160
0091392,I142135298,網路付款未取票,2018/04/08,2,1020,6220
0091393,I144490532,網路付款未取票,2018/04/07,1,1040,1000
0091394,P237599184,網路付款未取票,2018/04/08,2,5050,4220
0091395,N102660015,網路付款未取票,2018/04/07,1,5050,4120
0091396,I195485067,網路付款未取票,2018/04/08,2,1020,6220
0091036,I278631138,網路付款未取票,2018/04/09,3,1020,6050
0091037,U136180862,網路付款未取票,2018/04/08,2,1040,6110
0091038,N216548346,網路付款未取票,2018/04/07,1,5050,4440
0091039,Z258256530,網路付款未取票,2018/04/08,2,5050,1160
0091040,Q111355001,網路付款未取票,2018/04/07,1,1020,7190
0091041,U162368225,網路付款未取票,2018/04/09,3,1040,6000
0091042,J221825688,網路付款未取票,2018/04/07,1,5050,4440
0091043,E105636827,網路付款未取票,2018/04/07,1,5050,4120
0091044,Z165285138,網路付款未取票,2018/04/08,2,1020,6220
0091045,F198850925,網路付款未取票,2018/04/09,3,1040,6000
0091046,R269075606,網路付款未取票,2018/04/09,3,5050,3390
0091047,D121900625,網路付款未取票,2018/04/09,3,5050,7160
0091048,L188412926,網路付款未取票,2018/04/08,2,1020,6220
0091049,Q259010683,網路付款未取票,2018/04/08,2,1040,6110
0091050,F182455067,網路付款未取票,2018/04/09,3,5050,3390
0091051,N183016060,網路付款未取票,2018/04/07,1,5050,4120
0091052,N118277526,網路付款未取票,2018/04/08,2,1020,6220
0091053,B177334155,網路付款未取票,2018/04/08,2,1040,6110
0091397,V219508903,網路付款未取票,2018/04/07,1,1040,1000
0091398,B166147048,網路付款未取票,2018/04/08,2,5050,4220
0091399,U184778172,網路付款未取票,2018/04/09,3,5050,7160
0091400,S104385671,網路付款未取票,2018/04/07,1,1020,7190
0091401,B254467804,網路付款未取票,2018/04/07,1,1040,1000
0091402,F118228250,網路付款未取票,2018/04/09,3,5050,3390
0091403,E207252009,網路付款未取票,2018/04/08,2,5050,1160
0091404,E279839363,網路付款未取票,2018/04/07,1,1020,7190
0091405,T218075172,網路付款未取票,2018/04/08,2,1040,6110
0091406,S185936247,網路付款未取票,2018/04/08,2,5050,4220
0091407,S126322365,網路付款未取票,2018/04/09,3,5050,7160
0091408,C185275504,網路付款未取票,2018/04/09,3,1020,6050
0091409,Q273369389,網路付款未取票,2018/04/07,1,1040,1000
0091410,A233747244,網路付款未取票,2018/04/08,2,5050,4220
0091411,T214812811,網路付款未取票,2018/04/08,2,5050,1160
0091412,I237846651,網路付款未取票,2018/04/08,2,1020,6220
0091413,Z220163986,網路付款未取票,2018/04/09,3,1040,6000
0091414,F166812893,網路付款未取票,2018/04/09,3,5050,3390
0091054,A124595641,網路付款未取票,2018/04/09,3,5050,3390
0091055,S204886111,網路付款未取票,2018/04/07,1,5050,4120
0091056,H249454042,網路付款未取票,2018/04/09,3,1020,6050
0091057,D299781376,網路付款未取票,2018/04/09,3,1040,6000
0091058,P259286284,網路付款未取票,2018/04/07,1,5050,4440
0091059,V156377639,網路付款未取票,2018/04/07,1,5050,4120
0091060,A121466321,網路付款未取票,2018/04/09,3,1020,6050
0091061,Z149902536,網路付款未取票,2018/04/08,2,1040,6110
0091062,Z243671221,網路付款未取票,2018/04/09,3,5050,3390
0091063,O291698445,網路付款未取票,2018/04/09,3,5050,7160
0091064,Z258746093,網路付款未取票,2018/04/09,3,1020,6050
0091065,G173563100,網路付款未取票,2018/04/08,2,1040,6110
0091066,L151011584,網路付款未取票,2018/04/08,2,5050,4220
0091067,Q218892661,網路付款未取票,2018/04/07,1,5050,4120
0091068,N213068985,網路付款未取票,2018/04/09,3,1020,6050
0091069,S120258455,網路付款未取票,2018/04/09,3,1040,6000
0091070,K234361541,網路付款未取票,2018/04/08,2,5050,4220
0091071,U225739244,網路付款未取票,2018/04/08,2,5050,1160
0091415,K149223010,網路付款未取票,2018/04/07,1,5050,4120
0091416,Z230775578,網路付款未取票,2018/04/09,3,1020,6050
0091417,A288107674,網路付款未取票,2018/04/07,1,1040,1000
0091418,A185665042,網路付款未取票,2018/04/08,2,5050,4220
0091419,A166222670,網路付款未取票,2018/04/08,2,5050,1160
0091420,K247391437,網路付款未取票,2018/04/07,1,1020,7190
0091421,A157857450,網路付款未取票,2018/04/08,2,1040,6110
0091422,U202879521,網路付款未取票,2018/04/09,3,5050,3390
0091423,R144492887,網路付款未取票,2018/04/08,2,5050,1160
0091424,B128366441,網路付款未取票,2018/04/08,2,1020,6220
0091425,I118094082,網路付款未取票,2018/04/08,2,1040,6110
0091426,C266468750,網路付款未取票,2018/04/09,3,5050,3390
0091427,J211579973,網路付款未取票,2018/04/07,1,5050,4120
0091428,R219032786,網路付款未取票,2018/04/09,3,1020,6050
0091429,D199700735,網路付款未取票,2018/04/08,2,1040,6110
0091430,I203315110,網路付款未取票,2018/04/07,1,5050,4440
0091431,O144622660,網路付款未取票,2018/04/07,1,5050,4120
0091432,C257164650,網路付款未取票,2018/04/09,3,1020,6050
0091072,O153205882,網路付款未取票,2018/04/07,1,1020,7190
0091073,L270022607,網路付款未取票,2018/04/07,1,1040,1000
0091074,V233546218,網路付款未取票,2018/04/07,1,5050,4440
0091075,D146007321,網路付款未取票,2018/04/08,2,5050,1160
0091076,U215223720,網路付款未取票,2018/04/07,1,1020,7190
0091077,O173191085,網路付款未取票,2018/04/07,1,1040,1000
0091078,K204026299,網路付款未取票,2018/04/09,3,5050,3390
0091079,M134213398,網路付款未取票,2018/04/07,1,5050,4120
0091080,U160309988,網路付款未取票,2018/04/07,1,1020,7190
0091081,R132675741,網路付款未取票,2018/04/08,2,1040,6110
0091082,L251399736,網路付款未取票,2018/04/09,3,5050,3390
0091083,C141037211,網路付款未取票,2018/04/09,3,5050,7160
0091084,C201624821,網路付款未取票,2018/04/08,2,1020,6220
0091085,M180347834,網路付款未取票,2018/04/08,2,1040,6110
0091086,C294223654,網路付款未取票,2018/04/07,1,5050,4440
0091087,U292692503,網路付款未取票,2018/04/07,1,5050,4120
0091088,T259186738,網路付款未取票,2018/04/07,1,1020,7190
0091089,D210139998,網路付款未取票,2018/04/09,3,1040,6000
0091433,K200810991,網路付款未取票,2018/04/08,2,1040,6110
0091434,A116867656,網路付款未取票,2018/04/08,2,5050,4220
0091435,C276179948,網路付款未取票,2018/04/08,2,5050,1160
0091436,R174359206,網路付款未取票,2018/04/09,3,1020,6050
0091437,K107567580,網路付款未取票,2018/04/07,1,1040,1000
0091438,A123254856,網路付款未取票,2018/04/07,1,5050,4440
0091439,A277698397,網路付款未取票,2018/04/08,2,5050,1160
0091440,R283398259,網路付款未取票,2018/04/07,1,1020,7190
0091441,S278215164,網路付款未取票,2018/04/07,1,1040,1000
0091442,U160715093,網路付款未取票,2018/04/07,1,5050,4440
