訂票代碼,客戶證號,訂單狀態,乘車日期,訂票張數,起站,迄站
0075801,T192555468,預訂,2018/1/5,1,5050,4120
0075802,M212294060,預訂,2018/1/5,1,5050,4120
0075803,S113947670,預訂,2018/1/6,2,5050,1160
0075804,H262676760,預訂,2018/1/5,1,5050,4120
0075805,M270882631,預訂,2018/1/5,1,5050,4120
0075806,D147443465,預訂,2018/1/7,3,5050,7160
0075807,C142775694,預訂,2018/1/7,3,5050,7160
0075808,U194451277,預訂,2018/1/5,1,5050,4120
0075809,K102070215,預訂,2018/1/5,1,5050,4120
0075810,Q238558713,預訂,2018/1/6,2,5050,1160
0075811,Z244832826,預訂,2018/1/5,1,5050,4120
0075812,O272513150,預訂,2018/1/5,1,5050,4120
0075813,O124734034,預訂,2018/1/7,3,5050,7160
0075814,P170329899,預訂,2018/1/5,1,5050,4120
0075815,B214030645,預訂,2018/1/6,2,5050,1160
0075816,Q263880120,預訂,2018/1/5,1,5050,4120
0075294,E137184807,預訂,2018/1/6,2,5050,1160
0075295,S234960791,預訂,2018/1/5,1,5050,4120
0075296,I117795437,預訂,2018/1/5,1,5050,4120
0075297,N238250023,預訂,2018/1/6,2,5050,1160
0075298,K165257838,預訂,2018/1/6,2,5050,1160
0075299,K255072665,預訂,2018/1/7,3,5050,7160
0075300,H215359047,預訂,2018/1/5,1,5050,4120
0075301,N264359711,預訂,2018/1/6,2,5050,1160
0075302,L127994903,預訂,2018/1/6,2,5050,1160
0075303,E145761783,預訂,2018/1/7,3,5050,7160
0075304,C161502666,預訂,2018/1/6,2,5050,1160
0075305,E208851177,預訂,2018/1/6,2,5050,1160
0075306,A219057163,預訂,2018/1/5,1,5050,4120
0075307,J266054056,預訂,2018/1/5,1,5050,4120
0075308,A264933869,預訂,2018/1/6,2,5050,1160
0075309,D165809738,預訂,2018/1/7,3,5050,7160
0075310,E124783627,預訂,2018/1/6,2,5050,1160
0075311,F264722558,預訂,2018/1/7,3,5050,7160
0075531,Q138866307,預訂,2018/1/5,1,5050,4120
0075532,T115251445,預訂,2018/1/7,3,5050,7160
0075533,M175701933,預訂,2018/1/6,2,5050,1160
0075534,T114159648,預訂,2018/1/7,3,5050,7160
0075535,N215800472,預訂,2018/1/5,1,5050,4120
0075536,T244341405,預訂,2018/1/7,3,5050,7160
0075537,I275049521,預訂,2018/1/6,2,5050,1160
0075538,S215483626,預訂,2018/1/7,3,5050,7160
0075539,E226547505,預訂,2018/1/7,3,5050,7160
0075540,C214112796,預訂,2018/1/6,2,5050,1160
0075541,L217935145,預訂,2018/1/5,1,5050,4120
0075542,E238580136,預訂,2018/1/5,1,5050,4120
0075543,P107997205,預訂,2018/1/6,2,5050,1160
0075544,L221769873,預訂,2018/1/6,2,5050,1160
0075545,P298437430,預訂,2018/1/5,1,5050,4120
0075546,C200887422,預訂,2018/1/7,3,5050,7160
0075547,P280027528,預訂,2018/1/7,3,5050,7160
0075548,E284589898,預訂,2018/1/6,2,5050,1160
0075817,E137349308,預訂,2018/1/7,3,5050,7160
0075818,V172188856,預訂,2018/1/6,2,5050,1160
0075819,U117685306,預訂,2018/1/7,3,5050,7160
0075820,K279772162,預訂,2018/1/7,3,5050,7160
0075821,U256140848,預訂,2018/1/7,3,5050,7160
0075822,V291937666,預訂,2018/1/5,1,5050,4120
0075823,K280984632,預訂,2018/1/6,2,5050,1160
0075824,H250239604,預訂,2018/1/5,1,5050,4120
0075825,P197869196,預訂,2018/1/7,3,5050,7160
0075826,V107548333,預訂,2018/1/5,1,5050,4120
0075827,F106004893,預訂,2018/1/5,1,5050,4120
0075828,F181708247,預訂,2018/1/5,1,5050,4120
0075829,C214358256,預訂,2018/1/6,2,5050,1160
0075830,C113328412,預訂,2018/1/6,2,5050,1160
0075831,M155321555,預訂,2018/1/6,2,5050,1160
0075832,M289103858,預訂,2018/1/7,3,5050,7160
0075833,J251595639,預訂,2018/1/6,2,5050,1160
0075834,Q234147456,預訂,2018/1/7,3,5050,7160
0074991,H288181962,預訂,2018/1/6,2,5050,1160
0074992,J186298874,預訂,2018/1/6,2,5050,1160
0074993,V275032782,預訂,2018/1/7,3,5050,7160
0074994,D285989944,預訂,2018/1/6,2,5050,1160
0074995,L294630807,預訂,2018/1/5,1,5050,4120
0074996,J193574521,預訂,2018/1/6,2,5050,1160
0074997,T132599079,預訂,2018/1/6,2,5050,1160
0074998,J135652584,預訂,2018/1/7,3,5050,7160
0074999,I258587648,預訂,2018/1/6,2,5050,1160
0075000,Z176811902,預訂,2018/1/7,3,5050,7160
0075001,N117299046,預訂,2018/1/5,1,5050,4120
0075002,U161882208,預訂,2018/1/7,3,5050,7160
0075003,G176885845,預訂,2018/1/7,3,5050,7160
0075005,Z111518248,預訂,2018/1/6,2,5050,1160
0075007,P222259637,預訂,2018/1/6,2,5050,1160
0075008,N220071410,預訂,2018/1/5,1,5050,4120
0075010,E177496331,預訂,2018/1/6,2,5050,1160
0075011,C294098928,預訂,2018/1/7,3,5050,7160
0075312,P272649618,預訂,2018/1/6,2,5050,1160
0075313,L116715521,預訂,2018/1/5,1,5050,4120
0075314,J269186519,預訂,2018/1/5,1,5050,4120
0075315,L278898505,預訂,2018/1/6,2,5050,1160
0075316,I134240995,預訂,2018/1/5,1,5050,4120
0075317,U271448283,預訂,2018/1/7,3,5050,7160
0075318,K213390159,預訂,2018/1/7,3,5050,7160
0075319,B282242666,預訂,2018/1/5,1,5050,4120
0075320,E263833337,預訂,2018/1/7,3,5050,7160
0075321,D281648684,預訂,2018/1/5,1,5050,4120
0075322,K290187547,預訂,2018/1/6,2,5050,1160
0075323,L196777490,預訂,2018/1/7,3,5050,7160
0075324,G246498934,預訂,2018/1/6,2,5050,1160
0075325,C144453593,預訂,2018/1/5,1,5050,4120
0075326,L285161148,預訂,2018/1/5,1,5050,4120
0075327,D110412874,預訂,2018/1/7,3,5050,7160
0075328,R140321823,預訂,2018/1/5,1,5050,4120
0075549,C146037015,預訂,2018/1/6,2,5050,1160
0075550,T286821266,預訂,2018/1/5,1,5050,4120
0075551,O263535460,預訂,2018/1/6,2,5050,1160
0075552,U276612872,預訂,2018/1/5,1,5050,4120
0075553,S291164008,預訂,2018/1/5,1,5050,4120
0075554,C125732284,預訂,2018/1/6,2,5050,1160
0075555,G263809299,預訂,2018/1/6,2,5050,1160
0075556,P284401619,預訂,2018/1/7,3,5050,7160
